covariate_mode,meal_type,model,quantile_tau,treat_offset,minutes,n_obs,ACME,ACME_lower,ACME_upper,ACME_p,ADE,ADE_lower,ADE_upper,ADE_p,total_effect,total_lower,total_upper,total_p,prop_mediated,m_resid_skew,m_resid_kurt,m_shapiro_p,y_resid_skew,y_resid_kurt,y_shapiro_p
pca,ALL,lmer,,15.0,195.0,190.0,-3.6540267820932977,-7.310333993389234,-0.2014813794417617,0.042,6.102319528201516,1.5160787772326343,10.776156919130516,0.02,2.448292746108219,-0.9073983116417468,5.6375211779211805,0.146,-1.49247951982119,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.27322078367549,0.7341626907329415,0.065589679270561
pca,ALL,lmer,,15.0,200.0,190.0,-3.0052079980541064,-6.416977330184507,0.4734953508922774,0.086,5.6245449530529,0.9088374344901082,10.36760901949539,0.016,2.619336954998794,-0.6597300766398111,6.029916959147076,0.1,-1.147316305494377,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.2867737167790483,0.751637092087377,0.0842616212978096
pca,ALL,lmer,,15.0,205.0,190.0,-2.8056615470694624,-6.434379372713423,0.63297597715486,0.122,5.751202626903539,0.7216335516211522,10.463632351037408,0.02,2.945541079834077,-0.301649344238086,6.428339788704472,0.068,-0.9525114303371066,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.3337172088257688,0.8339449505611589,0.0509349984429979
pca,ALL,lmer,,15.0,210.0,190.0,-2.7746710633543468,-6.590884881062691,1.148311588163491,0.148,5.786826886327682,1.0006784176504069,10.92739813131936,0.02,3.012155822973335,-0.4814949255100109,6.2938798024372105,0.094,-0.9211578770899824,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,0.4050558011792536,0.9560809376938412,0.0236180538603344
pca,ALL,lmer,,30.0,60.0,190.0,-4.12733317403463,-9.443077076652548,0.6707670836993993,0.104,6.938592407286726,0.1607815670833132,13.60655357615398,0.044,2.8112592332520956,-1.7674442145791387,7.314723930088452,0.246,-1.4681439282495787,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.3574465941709229,0.2914923997844374,0.1098467699070757
pca,ALL,lmer,,30.0,65.0,190.0,-4.635042080370788,-9.897964909753664,0.5136327568403174,0.074,7.59967301701964,0.8182607102924236,14.986001903817048,0.026,2.964630936648853,-2.0243310850700804,7.719451346509587,0.222,-1.5634465737614298,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.439204599739584,0.5177610137034985,0.0441899809735929
pca,ALL,lmer,,30.0,70.0,190.0,-5.527737984857856,-10.849821764174,-0.1906635235820123,0.044,8.691518861948735,1.7964470707205673,16.056062161675346,0.014,3.1637808770908795,-1.6486133240429115,8.522222904948622,0.212,-1.7471936899563831,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.4102784783749342,0.5344335223434911,0.0445591340410625
pca,ALL,lmer,,30.0,75.0,190.0,-6.472200734971541,-11.841919218186858,-0.7304491993945149,0.026,10.024108739870984,2.5624091790739345,17.429090056800973,0.014,3.551908004899443,-1.58032212065147,8.901160214333387,0.202,-1.8221757787768984,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.3302014253794183,0.4233704523472453,0.1722358932450332
pca,ALL,lmer,,30.0,80.0,190.0,-7.418744155649799,-13.532381848106189,-1.3619661367832747,0.018,11.54427018217066,4.051888631687597,19.485908109970698,0.004,4.125526026520862,-1.405300845646917,9.30633495921843,0.148,-1.7982541154651674,1.5954216248810384,3.6735613150788495,5.771344716937449e-12,-0.2457780144002702,0.2783079777775792,0.572074401725202
pca,ALL,lmer,,30.0,85.0,190.0,-7.684403945135419,-13.9560356753494,-1.5246582905918555,0.006,12.09760540285956,4.3019550165663265,19.950549182759634,0.0,4.413201457724143,-1.3431597296030873,9.682870918433634,0.118,-1.7412311716896358,1.5954216248810384,3.6735613150788495,5.7713447169374486e-12,-0.1732814167851444,0.0844387957982708,0.7708530353048797
